timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507496241,9127,HTTP Request,200,,Thread Group 1-74,text,true,,161,118,100,100,9127,0,2738
1520507459308,22039,HTTP Request,200,,Thread Group 1-67,text,true,,161,118,100,100,20660,0,12358
1520507459858,50281,HTTP Request,200,,Thread Group 1-76,text,true,,161,118,100,100,44716,0,10145
1520507460215,21132,HTTP Request,200,,Thread Group 1-26,text,true,,161,118,100,100,19326,0,11486
1520507460309,49830,HTTP Request,200,,Thread Group 1-39,text,true,,161,118,100,100,44265,0,10903
1520507459022,22325,HTTP Request,200,,Thread Group 1-72,text,true,,161,118,100,100,20448,0,9359
1520507460215,44362,HTTP Request,200,,Thread Group 1-35,text,true,,161,118,100,100,40749,0,8835
1520507460099,21248,HTTP Request,200,,Thread Group 1-69,text,true,,161,118,100,100,19371,0,8266
1520507494379,15769,HTTP Request,200,,Thread Group 1-3,text,true,,161,118,100,100,15769,0,428
1520507460214,21133,HTTP Request,200,,Thread Group 1-44,text,true,,161,118,100,100,19255,0,8168
1520507482003,28147,HTTP Request,200,,Thread Group 1-86,text,true,,161,118,100,100,28147,0,1477
1520507460099,21450,HTTP Request,200,,Thread Group 1-42,text,true,,161,118,100,100,21145,0,9505
1520507496537,13620,HTTP Request,200,,Thread Group 1-62,text,true,,161,118,100,100,13620,0,62
1520507460215,21257,HTTP Request,200,,Thread Group 1-71,text,true,,161,118,100,100,21248,0,12087
1520507482367,27792,HTTP Request,200,,Thread Group 1-29,text,true,,161,118,100,100,27792,0,42
1520507459556,22338,HTTP Request,200,,Thread Group 1-88,text,true,,161,118,100,100,22337,0,11629
1520507459313,46142,HTTP Request,200,,Thread Group 1-77,text,true,,161,118,100,100,45264,0,10828
1520507459022,22326,HTTP Request,200,,Thread Group 1-85,text,true,,161,118,100,100,21830,0,11966
1520507496301,13859,HTTP Request,200,,Thread Group 1-98,text,true,,161,118,100,100,13859,0,182
1520507460212,21137,HTTP Request,200,,Thread Group 1-34,text,true,,161,118,100,100,19257,0,8826
1520507482007,28155,HTTP Request,200,,Thread Group 1-21,text,true,,161,118,100,100,28155,0,0
1520507460090,21346,HTTP Request,200,,Thread Group 1-45,text,true,,161,118,100,100,21337,0,11099
1520507482002,28161,HTTP Request,200,,Thread Group 1-7,text,true,,161,118,100,100,22567,0,0
1520507460090,21258,HTTP Request,200,,Thread Group 1-97,text,true,,161,118,100,100,20763,0,11213
1520507482004,28160,HTTP Request,200,,Thread Group 1-88,text,true,,161,118,100,100,28160,0,396
1520507459556,21791,HTTP Request,200,,Thread Group 1-89,text,true,,161,118,100,100,21295,0,11614
1520507504601,5564,HTTP Request,200,,Thread Group 1-58,text,true,,161,118,100,100,5563,0,1
1520507459053,22295,HTTP Request,200,,Thread Group 1-80,text,true,,161,118,100,100,21129,0,13250
1520507504583,5582,HTTP Request,200,,Thread Group 1-48,text,true,,161,118,100,100,5581,0,19
1520507459556,21792,HTTP Request,200,,Thread Group 1-7,text,true,,161,118,100,100,21488,0,11429
1520507505436,4732,HTTP Request,200,,Thread Group 1-52,text,true,,161,118,100,100,4732,0,0
1520507460099,21719,HTTP Request,200,,Thread Group 1-86,text,true,,161,118,100,100,21699,0,10889
1520507504595,5576,HTTP Request,200,,Thread Group 1-69,text,true,,161,118,100,100,5576,0,1
